Pickup Date,Pickup Day,Pickup Time,Pickup Location,Vehicle
01-07-2014,Tuesday,12:03:00 AM,tao restaurant 251 Dyckman St NYC,Diplo
01-07-2014,Tuesday,12:03:00 AM,tao restaurant 251 Dyckman St NYC,Skyline
01-07-2014,Tuesday,12:04:00 AM," 1 Marble Hill Ave Kingsbridge, BX",First Class
01-07-2014,Tuesday,12:04:00 AM, 1 test test Bronx,Prestige
01-07-2014,Tuesday,12:04:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline
01-07-2014,Tuesday,12:04:00 AM,"la gomera nw E 149th St Cortlandt, BX",Skyline
01-07-2014,Tuesday,12:04:00 AM,PATHMARK 410 W 207 St NYC,Skyline
01-07-2014,Tuesday,12:04:00 AM,stop & shop supermarket 5716 Broadway Bronx,Skyline
01-07-2014,Tuesday,12:04:00 AM,stop & shop supermarket 5716 Broadway Bronx,Skyline
01-07-2014,Tuesday,12:04:00 AM,tette 154 Post Ave NYC,Skyline
01-07-2014,Tuesday,12:05:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Prestige
01-07-2014,Tuesday,12:05:00 AM,"driveway 1075 University Ave High Bridge, BX",First Class
01-07-2014,Tuesday,12:05:00 AM,"emergencia 3424 Kossuth Ave Williamsbridge, BX",First Class
01-07-2014,Tuesday,12:05:00 AM,"parrilla 2501 Webster Ave Fordham, BX",First Class
01-07-2014,Tuesday,12:05:00 AM,"rite aid pharmacy nw Broadway Kingsbridge, BX",Carmel
01-07-2014,Tuesday,12:05:00 AM,tete lounge 154 Post Ave NYC,Skyline
01-07-2014,Tuesday,12:05:00 AM,tete lounge 154 Post Ave NYC,American
01-07-2014,Tuesday,12:06:00 AM," 1042 Rev James A Polite Ave Foxhurst, BX",Prestige
01-07-2014,Tuesday,12:06:00 AM,"BASE --- 170 W Fordham Rd Jerome, BX",Skyline
01-07-2014,Tuesday,12:06:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline
01-07-2014,Tuesday,12:06:00 AM,"HOTEL 2990 Boston Rd Baychester, BX",Skyline
01-07-2014,Tuesday,12:06:00 AM,LGA DL ,Prestige
01-07-2014,Tuesday,12:06:00 AM,"rite aid nw W 238th St Kingsbridge, BX",Skyline
01-07-2014,Tuesday,12:06:00 AM,t mobile nw Broadway NYC,Skyline
01-07-2014,Tuesday,12:06:00 AM,town car 204 Sherman Ave NYC,Diplo
01-07-2014,Tuesday,12:06:00 AM,tsao restaurant  251 Dyckman St NYC,Skyline
01-07-2014,Tuesday,12:07:00 AM," 1007 Simpson St Foxhurst, BX",First Class
01-07-2014,Tuesday,12:07:00 AM," 1041 Prospect Ave Foxhurst, BX",First Class
01-07-2014,Tuesday,12:07:00 AM,barberia sw Marion Ave Bronx,Skyline
01-07-2014,Tuesday,12:07:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class
01-07-2014,Tuesday,12:07:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline
01-07-2014,Tuesday,12:07:00 AM,HARLEM HOSPITAL 506 Lenox Ave NYC,Skyline
01-07-2014,Tuesday,12:07:00 AM,RITE AID nw Broadway NYC,Diplo
01-07-2014,Tuesday,12:07:00 AM,salida 212st 4996 Broadway NYC,Diplo
01-07-2014,Tuesday,12:07:00 AM,"taz tavern sw Broadway Kingsbridge, BX",First Class
01-07-2014,Tuesday,12:08:00 AM," 10 E 198th St Jerome, BX",First Class
01-07-2014,Tuesday,12:08:00 AM," 1010 Ave Saint John South Bronx, BX",First Class
01-07-2014,Tuesday,12:08:00 AM,"6 FORDHAM HILLFHA # 6 2400 Sedgwick Ave Jerome, BX",First Class
01-07-2014,Tuesday,12:08:00 AM,"BARBERIA GREÒA 1805 University Ave Morris Heights, BX",First Class
01-07-2014,Tuesday,12:08:00 AM,"BARBERIA SN Davidson Ave Jerome, BX",First Class
01-07-2014,Tuesday,12:09:00 AM," 1 Bruckner Blvd Mott Haven, BX",Diplo
01-07-2014,Tuesday,12:09:00 AM," 1032 Ogden Ave High Bridge, BX",First Class
01-07-2014,Tuesday,12:09:00 AM," 1033 Boston Rd Morrisania, BX",First Class
01-07-2014,Tuesday,12:09:00 AM,"7 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",Prestige
01-07-2014,Tuesday,12:09:00 AM,"BAJANDO-CREDIT CARD NW Grand Concourse Fordham, BX",American
01-07-2014,Tuesday,12:09:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Diplo
01-07-2014,Tuesday,12:09:00 AM,"dalla bbq 2100 Bartow Ave Co-Op City, BX",Diplo
01-07-2014,Tuesday,12:09:00 AM,"DELIVERY 678 E 221st St Williamsbridge, BX",Prestige
01-07-2014,Tuesday,12:09:00 AM,"MOTEL 1440 Sheridan Expy Foxhurst, BX",First Class
01-07-2014,Tuesday,12:09:00 AM,por el frente 150 W 225 St NYC,First Class
01-07-2014,Tuesday,12:09:00 AM,tao restaurant 251 Dyckman St NYC,First Class
01-07-2014,Tuesday,12:10:00 AM,550 1 Ave NYC,First Class
01-07-2014,Tuesday,12:10:00 AM,"6 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",Prestige
01-07-2014,Tuesday,12:10:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Prestige
01-07-2014,Tuesday,12:10:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Diplo
01-07-2014,Tuesday,12:10:00 AM,"motel 4225 Webster Ave Woodlawn, BX",First Class
01-07-2014,Tuesday,12:10:00 AM,salida 64th st 101 West End Ave NYC,First Class
01-07-2014,Tuesday,12:10:00 AM,salida por Staff st 1781 Riverside Dr NYC,American
01-07-2014,Tuesday,12:10:00 AM,"sillouhette lounge  nw Broadway Kingsbridge, BX",First Class
01-07-2014,Tuesday,12:10:00 AM,stop & shop supermarket 5716 Broadway Bronx,First Class
01-07-2014,Tuesday,12:10:00 AM,stop & shop supermarket 5716 Broadway Bronx,Prestige
01-07-2014,Tuesday,12:11:00 AM," 100 E Mosholu Pkwy S Fordham, BX",First Class
01-07-2014,Tuesday,12:11:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class
01-07-2014,Tuesday,12:11:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Prestige
01-07-2014,Tuesday,12:11:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline
01-07-2014,Tuesday,12:11:00 AM,DUNKIN DONUTS NW Broadway NYC,First Class
01-07-2014,Tuesday,12:11:00 AM,POR VERMILYEA  560 Isham St NYC,First Class
01-07-2014,Tuesday,12:11:00 AM,salon  4996 Broadway NYC,Skyline
01-07-2014,Tuesday,12:11:00 AM,stop & shop supermarket 5716 Broadway Bronx,First Class
01-07-2014,Tuesday,12:11:00 AM,tao restaurant 251 Dyckman St NYC,Skyline
01-07-2014,Tuesday,12:11:00 AM,"tin marin bar  3708 Riverdale Ave Kingsbridge, BX",Carmel
01-07-2014,Tuesday,12:12:00 AM,"  Brook Ave South Bronx, BX",Diplo
01-07-2014,Tuesday,12:12:00 AM," 100 Elgar Pl Co-Op City, BX",Diplo
01-07-2014,Tuesday,12:12:00 AM," 1041 University Ave High Bridge, BX",Carmel
01-07-2014,Tuesday,12:12:00 AM,"551.358.5890 1404 Gillespie Ave Morris Park, BX",First Class
01-07-2014,Tuesday,12:12:00 AM,"allen pavilion -MAIN nw Broadway Morris Heights, BX",Prestige
01-07-2014,Tuesday,12:12:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Carmel
01-07-2014,Tuesday,12:12:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Prestige
01-07-2014,Tuesday,12:12:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Diplo
01-07-2014,Tuesday,12:12:00 AM,"shop rite / cvs pharmacy  nw Riverdale Ave YONKERS, NY.",American
01-07-2014,Tuesday,12:12:00 AM,stop & shop supermarket 5716 Broadway Bronx,First Class
01-07-2014,Tuesday,12:12:00 AM,stop & shop supermarket 5716 Broadway Bronx,Prestige
01-07-2014,Tuesday,12:13:00 AM,"6 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",Prestige
01-07-2014,Tuesday,12:13:00 AM,"BARBERIA GREÒA 1805 University Ave Morris Heights, BX",Diplo
01-07-2014,Tuesday,12:13:00 AM,"barberia grena 23 W 184th St Jerome, BX",First Class
01-07-2014,Tuesday,12:13:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Carmel
01-07-2014,Tuesday,12:13:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Carmel
01-07-2014,Tuesday,12:13:00 AM,"esquina nw E Gun Hill Rd Baychester, BX",First Class
01-07-2014,Tuesday,12:13:00 AM,HILLTON RESTAURAN SW 3 Ave NYC,Diplo
01-07-2014,Tuesday,12:13:00 AM,NJ vaaa 159-14 8 Ave NYC,Prestige
01-07-2014,Tuesday,12:13:00 AM,por academy st 4841 Broadway NYC,American
01-07-2014,Tuesday,12:14:00 AM,"  Melrose Ave Cortlandt, BX",Prestige
01-07-2014,Tuesday,12:14:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class
01-07-2014,Tuesday,12:14:00 AM,"jet set motel 4565 3rd Ave Fordham, BX",Skyline
01-07-2014,Tuesday,12:14:00 AM,por el parqueo 150   W 225 St NYC,Carmel
01-07-2014,Tuesday,12:15:00 AM,"  3rd Ave Cortlandt, BX",First Class
01-07-2014,Tuesday,12:15:00 AM," 10 W Gun Hill Rd Williamsbridge, BX",First Class
01-07-2014,Tuesday,12:15:00 AM, 100 Casals Pl Bronx,Skyline
01-07-2014,Tuesday,12:15:00 AM," 1010 Longfellow Ave Foxhurst, BX",Skyline
01-07-2014,Tuesday,12:15:00 AM," 1020 Trinity Ave Morrisania, BX",First Class
01-07-2014,Tuesday,12:15:00 AM,"5 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",First Class
01-07-2014,Tuesday,12:15:00 AM,"parkeo que esta en bedford park bkvd 2800 Goulden Ave Jerome, BX",Diplo
01-07-2014,Tuesday,12:15:00 AM,por la 212 st 4996 Broadway NYC,Diplo
01-07-2014,Tuesday,12:15:00 AM,starbuck  Fort Washington Ave NYC,American
01-07-2014,Tuesday,12:15:00 AM,suv de la larga  615 W 173 St NYC,Carmel
01-07-2014,Tuesday,12:15:00 AM,"timarin 3708 Riverdale Ave Kingsbridge, BX",Skyline
01-07-2014,Tuesday,12:16:00 AM, 1   Jacobus Pl NYC,First Class
01-07-2014,Tuesday,12:16:00 AM,"BASE 170 W Fordham Rd Jerome, BX",American
01-07-2014,Tuesday,12:16:00 AM,"ESQUINA SW W Kingsbridge Rd Jerome, BX",Skyline
01-07-2014,Tuesday,12:16:00 AM,pathmark 410 W 207 St NYC,First Class
01-07-2014,Tuesday,12:16:00 AM,por el PARKEO 156-20 Riverside Dr W NYC,First Class
01-07-2014,Tuesday,12:16:00 AM,por el parqueo 156-20 Riverside Dr NYC,Skyline
01-07-2014,Tuesday,12:16:00 AM,PS5  Dyckman St NYC,Diplo
01-07-2014,Tuesday,12:16:00 AM,taller de rico  W 133 St NYC,Carmel
01-07-2014,Tuesday,12:17:00 AM," 10 W Gun Hill Rd Williamsbridge, BX",Skyline
01-07-2014,Tuesday,12:17:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline
01-07-2014,Tuesday,12:17:00 AM,salida 133st 95 Old Broadway NYC,Diplo
01-07-2014,Tuesday,12:17:00 AM,"sillouhette lounge  nw Broadway Kingsbridge, BX",Carmel
01-07-2014,Tuesday,12:17:00 AM,VERO WINE BAR  NW E 77 St NYC,Skyline
01-07-2014,Tuesday,12:18:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline
01-07-2014,Tuesday,12:18:00 AM,"gap nw Cross County Mall YONKERS, NY.",Diplo
01-07-2014,Tuesday,12:18:00 AM,por cummings 4791 Broadway NYC,Carmel
01-07-2014,Tuesday,12:18:00 AM,por la 212th st  4996 Broadway NYC,Diplo
01-07-2014,Tuesday,12:18:00 AM,"the bridge tavern  nw Broadway Kingsbridge, BX",Skyline
01-07-2014,Tuesday,12:19:00 AM, 1 City Island Ave Bronx,First Class
01-07-2014,Tuesday,12:19:00 AM," 100 E Mosholu Pkwy S Fordham, BX",American
01-07-2014,Tuesday,12:19:00 AM," 1025 Aldus St Foxhurst, BX",Diplo
01-07-2014,Tuesday,12:19:00 AM,"6 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",Diplo
01-07-2014,Tuesday,12:19:00 AM,ESKINA NW W 150 St NYC,Diplo
01-07-2014,Tuesday,12:19:00 AM,JFK B6 ,First Class
01-07-2014,Tuesday,12:19:00 AM,por el frente 156-20 Riverside Dr W  NYC,First Class
01-07-2014,Tuesday,12:19:00 AM,"sale por 182nd st 2230 Grand Concourse Tremont, BX",First Class
01-07-2014,Tuesday,12:19:00 AM,stop & shop supermarket 5716 Broadway Bronx,Carmel
01-07-2014,Tuesday,12:19:00 AM,"tin marin rest 3708 Riverdale Ave Kingsbridge, BX",First Class
01-07-2014,Tuesday,12:19:00 AM,tren 1 nw Broadway NYC,American
01-07-2014,Tuesday,12:20:00 AM," 1000 Pelham Pkwy S Morris Park, BX",American
01-07-2014,Tuesday,12:20:00 AM,"BARBERIA 23 W 184th St Jerome, BX",Prestige
01-07-2014,Tuesday,12:20:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Diplo
01-07-2014,Tuesday,12:20:00 AM,"don coqui 565 City Island Ave City Island, BX",First Class
01-07-2014,Tuesday,12:20:00 AM,por el rio 156-08 Riverside Dr W NYC,Skyline
01-07-2014,Tuesday,12:20:00 AM,"stop n shop nw Broadway Kingsbridge, BX",American
01-07-2014,Tuesday,12:21:00 AM," 100 Carver Lp Co-Op City, BX",Skyline
01-07-2014,Tuesday,12:21:00 AM," 1012 Pierce Ave Parkchester, BX",First Class
01-07-2014,Tuesday,12:21:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Prestige
01-07-2014,Tuesday,12:21:00 AM,vacca lounge 416 W 203 St NYC,Skyline
01-07-2014,Tuesday,12:21:00 AM,VERO WINE BAR  NW E 77 St NYC,First Class
01-07-2014,Tuesday,12:22:00 AM, 1  TEST Bronx,First Class
01-07-2014,Tuesday,12:22:00 AM," 1 E 198th St Jerome, BX",Skyline
01-07-2014,Tuesday,12:22:00 AM," 100 Benchley Pl Co-Op City, BX",First Class
01-07-2014,Tuesday,12:22:00 AM,"584 Pugsley Avenue, Bronx, NY 10473 584 Pugsley Ave Bronx",Diplo
01-07-2014,Tuesday,12:23:00 AM," 100 Bellamy Lp Co-Op City, BX",Diplo
01-07-2014,Tuesday,12:23:00 AM," 1038 Lowell St Foxhurst, BX",Prestige
01-07-2014,Tuesday,12:23:00 AM,"BARBERIA GREÒA 2386 Davidson Ave Jerome, BX",Diplo
01-07-2014,Tuesday,12:23:00 AM,por cummings 4791 Broadway NYC,Diplo
01-07-2014,Tuesday,12:23:00 AM,vacca lounge 416 W 203 St NYC,Skyline
01-07-2014,Tuesday,12:24:00 AM," 1011 Washington Ave Morrisania, BX",Skyline
01-07-2014,Tuesday,12:24:00 AM," 1038 Boston Rd Morrisania, BX",Diplo
01-07-2014,Tuesday,12:24:00 AM," 1042 Rev James A Polite Ave Foxhurst, BX",Prestige
01-07-2014,Tuesday,12:24:00 AM,"9 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",Skyline
01-07-2014,Tuesday,12:24:00 AM,"ESQUINA NE Hoe Ave Westfarms, BX",Skyline
01-07-2014,Tuesday,12:24:00 AM,por el frente 150 W 225 St NYC,First Class
01-07-2014,Tuesday,12:24:00 AM,tao restaurant 251 Dyckman St NYC,First Class
01-07-2014,Tuesday,12:25:00 AM," 1 Bedford Park Blvd Jerome, BX",First Class
01-07-2014,Tuesday,12:25:00 AM,556 Hudson St Nyc,Carmel
01-07-2014,Tuesday,12:25:00 AM,"5-8g fordham hill 2400 Sedgwick Ave Jerome, BX",First Class
01-07-2014,Tuesday,12:25:00 AM,"abjao del tren nw Jerome Ave Jerome, BX",American
01-07-2014,Tuesday,12:25:00 AM,"la gomera nw E 149th St Cortlandt, BX",Prestige
01-07-2014,Tuesday,12:25:00 AM,"marisco centro 610 Exterior St Cortlandt, BX",First Class
01-07-2014,Tuesday,12:25:00 AM,salida 213 st 5008 Broadway NYC,Diplo
01-07-2014,Tuesday,12:25:00 AM,ttarget entrada de empleado 40 W 225 St NYC,Diplo
01-07-2014,Tuesday,12:26:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Carmel
01-07-2014,Tuesday,12:26:00 AM,on the back 157-10 Riverside Dr NYC,Skyline
01-07-2014,Tuesday,12:26:00 AM,por cummings 4791 Broadway NYC,First Class
01-07-2014,Tuesday,12:26:00 AM,"SALSA CON FUEGO  Cedar Ave Jerome, BX",First Class
01-08-2014,Friday,12:26:00 AM,"  E 138th St Mott Haven, BX",First Class
01-08-2014,Friday,12:26:00 AM,"  E 146th St South Bronx, BX",First Class
01-08-2014,Friday,12:26:00 AM,"  W Fordham Rd Jerome, BX",First Class
01-08-2014,Friday,12:26:00 AM," 100 Van Cortlandt Park S Kingsbridge, BX",Skyline
01-08-2014,Friday,12:26:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline
01-08-2014,Friday,12:26:00 AM,salon 4996 Broadway NYC,Skyline
01-08-2014,Friday,12:26:00 AM,tao restaurant 251 Dyckman St NYC,First Class
01-08-2014,Friday,12:27:00 AM," 100 Aldrich St Co-Op City, BX",Skyline
01-08-2014,Friday,12:27:00 AM," 1027 Leggett Ave South Bronx, BX",First Class
01-08-2014,Friday,12:27:00 AM," 1038 Rev James A Polite Ave Foxhurst, BX",Skyline
01-08-2014,Friday,12:27:00 AM,APPLEBEE*S 70 W 225 St NYC,Skyline
01-08-2014,Friday,12:27:00 AM,"BARBERIA GREÒA 2386 Davidson Ave Jerome, BX",Prestige
01-08-2014,Friday,12:27:00 AM,"POR LOS CABALLOS 810 Yonkers Ave YONKERS, NY.",Skyline
01-08-2014,Friday,12:27:00 AM,PORT AUTORITY SW 8 Ave NYC,First Class
01-08-2014,Friday,12:27:00 AM,royalty barber shop 588 W 207 St NYC,First Class
01-08-2014,Friday,12:27:00 AM,squina nw Madison Ave NYC,American
01-08-2014,Friday,12:27:00 AM,"walgreens pharmacy ne   Broadway Kingsbridge, BX",Skyline
01-08-2014,Friday,12:28:00 AM,"  Brook Ave South Bronx, BX",Diplo
01-08-2014,Friday,12:28:00 AM,"  Station Plz NEW ROCHELLE, NY.",Skyline
01-08-2014,Friday,12:28:00 AM," 10 W 182nd St Morris Heights, BX",Skyline
01-08-2014,Friday,12:28:00 AM,"9 FORDHAM  2400 Sedgwick Ave Jerome, BX",First Class
01-08-2014,Friday,12:28:00 AM,por la 134 st// rivers 3333 Broadway NYC,Prestige
01-08-2014,Friday,12:28:00 AM,presidente rest  sw Broadway NYC,Prestige
01-08-2014,Friday,12:28:00 AM,SAOS RESTAURANT  NW Dyckman St NYC,Skyline
01-08-2014,Friday,12:28:00 AM,"squina sw Broadway Kingsbridge, BX",Skyline
01-08-2014,Friday,12:28:00 AM,supermercado ne Broadway NYC,Skyline
01-08-2014,Friday,12:29:00 AM,"  City Island Ave South Bronx, BX",First Class
01-08-2014,Friday,12:29:00 AM,IN THE FRONT//CREIT CARD 157-10 Riverside Dr NYC,Skyline
01-08-2014,Friday,12:29:00 AM,"POR FUERA 1065 University Ave High Bridge, BX",Skyline
01-08-2014,Friday,12:29:00 AM,por riverside 3333 Broadway NYC,Skyline
01-08-2014,Friday,12:30:00 AM,55 W 25 St Nyc,Skyline
01-08-2014,Friday,12:30:00 AM,552 W 38 St Nyc,Skyline
01-08-2014,Friday,12:30:00 AM,9A lounge 2331 12 Ave NYC,First Class
01-08-2014,Friday,12:30:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Diplo
01-08-2014,Friday,12:30:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class
01-08-2014,Friday,12:30:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline
01-08-2014,Friday,12:30:00 AM,"MINIVAN 2180 Davidson Ave Morris Heights, BX",Skyline
01-08-2014,Friday,12:30:00 AM,principal/hospital sw Broadway NYC,Skyline
01-08-2014,Friday,12:30:00 AM,"SEA FOOD CITY 459 City Island Ave City Island, BX",Skyline
01-08-2014,Friday,12:31:00 AM,DEEGAN MOTEL 3600 Bailey Ave Bronx,Prestige
01-08-2014,Friday,12:31:00 AM,suv  701 W 135 St NYC,Diplo
01-08-2014,Friday,12:32:00 AM," 100 Co Op City Blvd Co-Op City, BX",Skyline
01-08-2014,Friday,12:32:00 AM,EL HOTEL 75 Macombs Pl NYC,Diplo
01-08-2014,Friday,12:32:00 AM,JFK B6 2,Diplo
01-08-2014,Friday,12:32:00 AM,"main gate 2400 Sedgwick Ave Jerome, BX",First Class
01-08-2014,Friday,12:33:00 AM," 100 Aldrich St Co-Op City, BX",First Class
01-08-2014,Friday,12:33:00 AM,"5-8g fordham hill 2400 Sedgwick Ave Jerome, BX",Diplo
01-08-2014,Friday,12:33:00 AM,"7 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",First Class
01-08-2014,Friday,12:33:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Diplo
01-08-2014,Friday,12:33:00 AM,"MAIN GATE 2400 Sedgwick Ave Jerome, BX",Skyline
01-08-2014,Friday,12:33:00 AM,"PARKING 2468 Jerome Ave Jerome, BX",Diplo
01-08-2014,Friday,12:33:00 AM,VERO WINE BAR  NW E 77 St NYC,First Class
01-08-2014,Friday,12:34:00 AM," 1000 Grand Concourse Cortlandt, BX",Skyline
01-08-2014,Friday,12:34:00 AM,"BARBERSHOP 265 E 184th St Fordham, BX",Skyline
01-08-2014,Friday,12:34:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Diplo
01-08-2014,Friday,12:34:00 AM,motel parte atras 2500 Crotona Ave Bronx,Diplo
01-08-2014,Friday,12:34:00 AM,por el frente 150 W 225 St NYC,First Class
01-08-2014,Friday,12:34:00 AM,"riverdale diner  nw Kingsbridge Ave Kingsbridge, BX",Skyline
01-08-2014,Friday,12:34:00 AM,"SEA FOOD CITY 459 City Island Ave City Island, BX",Skyline
01-08-2014,Friday,12:35:00 AM,"  E 139th St Mott Haven, BX",First Class
01-08-2014,Friday,12:35:00 AM,55 Water St Nyc,Skyline
01-08-2014,Friday,12:35:00 AM,"creditcard 1735 Townsend Ave Morris Heights, BX",Skyline
01-08-2014,Friday,12:35:00 AM,"cridit card 584 E 137th St Mott Haven, BX",Skyline
01-08-2014,Friday,12:35:00 AM,"la gomera nw E 149th St Cortlandt, BX",First Class
01-08-2014,Friday,12:35:00 AM,viva lounge  nw Thayer St NYC,Prestige
01-08-2014,Friday,12:36:00 AM," 100 E Mosholu Pkwy S Fordham, BX",Prestige
01-08-2014,Friday,12:36:00 AM," 1040 Jerome Ave Cortlandt, BX",Prestige
01-08-2014,Friday,12:36:00 AM,"Barberia 2412 University Ave Jerome, BX",Prestige
01-08-2014,Friday,12:36:00 AM,"BARBERIA GREÒA 2386 Davidson Ave Jerome, BX",Skyline
01-08-2014,Friday,12:36:00 AM,vacca lounge 416 West 203 St NYC,Diplo
01-08-2014,Friday,12:36:00 AM,"van cortlandt motel  nw Broadway Riverdale, BX",First Class
01-08-2014,Friday,12:37:00 AM," 100 Van Cortlandt Park S Kingsbridge, BX",American
01-08-2014,Friday,12:37:00 AM,"7 fordham hill 2400 Sedgwick Ave Jerome, BX",American
01-08-2014,Friday,12:37:00 AM,"Credit card 4575 Park Ave Fordham, BX",Prestige
01-08-2014,Friday,12:37:00 AM,salon 4996 Broadway NYC,First Class
